,PolicyholderAgeinyears,IncomeofPolicyholderperannum,Planenrolledyear,YearofMaturity,NumberofPremiumspaidinyears,PremiumPaidtilldate,Totaldelayedmonths,Default
0,35,556387,2021,2031,2,16666,11,0
1,35,556387,2016,2026,7,58333,12,1
2,30,556387,2015,2025,8,66666,11,1
3,30,556387,2017,2027,6,50000,12,1
4,30,556387,2014,2024,9,75000,13,1
5,31,556387,2015,2025,8,66666,11,1
6,31,556387,2017,2027,6,50000,11,1
7,32,556387,2021,2031,2,16666,11,0
8,33,556387,2016,2026,7,58333,12,1
9,34,556387,2015,2025,8,66666,11,1
10,35,556387,2017,2027,6,50000,11,1
11,39,556387,2014,2024,9,75000,13,1
12,39,556387,2015,2025,8,66666,11,1
13,40,556387,2017,2027,6,50000,12,1
14,40,556387,2015,2025,8,66666,11,1
15,41,556387,2017,2027,6,50000,12,1
16,42,556387,2014,2024,9,75000,13,1
17,43,556387,2015,2025,8,66666,13,1
18,43,556387,2017,2027,6,50000,11,1
19,43,556387,2021,2031,2,16666,16,0
20,44,556387,2016,2026,7,58333,11,1
21,45,556387,2015,2025,8,66666,11,1
22,46,556387,2017,2027,6,50000,12,1
23,47,556387,2014,2024,9,75000,13,1
24,48,556387,2015,2025,8,66666,13,1
25,49,556387,2017,2027,6,50000,11,1
26,50,556387,2021,2031,2,16666,12,0
27,51,556387,2016,2026,7,58333,11,1
28,52,556387,2015,2025,8,66666,11,1
29,54,556387,2017,2027,6,50000,16,0
30,56,556387,2014,2024,9,75000,13,1
31,56,556387,2015,2025,8,66666,11,1
32,58,556387,2017,2027,6,50000,12,1
33,59,556387,2015,2025,8,66666,11,1
34,59,556387,2017,2027,6,50000,11,1
35,60,556387,2014,2024,9,75000,13,1
36,60,556387,2015,2025,8,66666,11,1
37,61,556387,2017,2027,6,50000,11,1
38,61,556387,2021,2031,2,16666,11,0
39,61,556387,2016,2026,7,58333,11,1
40,61,556387,2015,2025,8,66666,11,1
41,61,556387,2017,2027,6,50000,14,1
42,63,556387,2014,2024,9,75000,13,1
43,63,556387,2015,2025,8,66666,12,1
44,63,556387,2017,2027,6,50000,16,0
45,63,556387,2021,2031,2,16666,11,0
46,65,556387,2016,2026,7,58333,11,1
47,66,556387,2015,2025,8,66666,11,1
48,66,556387,2017,2027,6,50000,11,1
49,66,556387,2014,2024,9,75000,13,1
50,67,556387,2015,2025,8,66666,11,1
51,67,556387,2017,2027,6,50000,11,1
52,67,556387,2015,2025,8,66666,11,1
53,68,556387,2017,2027,6,50000,11,1
54,69,556387,2014,2024,9,75000,13,1
55,70,556387,2015,2025,8,66666,11,1
56,72,556387,2017,2027,6,50000,12,1
57,77,556387,2014,2024,9,75000,16,1
58,60,556387,2015,2025,8,66666,11,1
59,54,556387,2017,2027,6,50000,13,1
60,30,556387,2015,2025,8,66666,11,1
61,35,556387,2017,2027,6,50000,11,1
62,78,556387,2014,2024,9,75000,13,1
63,32,556387,2015,2025,8,66666,12,1
64,46,556387,2017,2027,6,50000,11,1
65,37,556387,2014,2024,9,75000,13,1
66,50,556387,2015,2025,8,66666,11,1
67,71,556387,2017,2027,6,50000,15,0
68,45,556387,2015,2025,8,66666,11,1
69,51,556387,2017,2027,6,50000,11,1
70,63,556387,2014,2024,9,75000,13,1
71,50,556387,2015,2025,8,66666,11,1
72,72,556387,2017,2027,6,50000,11,1
73,52,556387,2014,2024,9,75000,13,1
74,72,556387,2015,2025,8,66666,13,1
75,57,556387,2017,2027,6,50000,11,1
76,43,556387,2015,2025,8,66666,11,1
77,48,556387,2017,2027,6,50000,12,1
78,30,556387,2014,2024,9,75000,13,1
79,58,556387,2015,2025,8,66666,11,1
80,43,556387,2017,2027,6,50000,11,1
81,68,556387,2014,2024,9,75000,13,1
82,54,556387,2015,2025,8,66666,11,1
83,48,556387,2017,2027,6,50000,11,1
84,48,556387,2015,2025,8,66666,11,1
85,42,556387,2017,2027,6,50000,11,1
86,47,556387,2014,2024,9,75000,13,1
87,69,556387,2015,2025,8,66666,11,1
88,59,556387,2017,2027,6,50000,11,1
89,53,556387,2014,2024,9,75000,13,1
90,47,556387,2015,2025,8,66666,11,1
91,41,556387,2017,2027,6,50000,11,1
92,60,556387,2015,2025,8,66666,11,1
93,61,556387,2017,2027,6,50000,11,1
94,53,556387,2014,2024,9,75000,13,1
95,42,556387,2015,2025,8,66666,11,1
96,35,556387,2017,2027,6,50000,12,1
97,55,556387,2017,2027,6,50000,11,1
98,57,556387,2014,2024,9,75000,13,1
99,79,556387,2015,2025,8,66666,11,1
100,50,556387,2017,2027,6,50000,11,1
101,63,556387,2015,2025,8,66666,11,1
102,53,556387,2017,2027,6,50000,11,1
103,33,556387,2014,2024,9,75000,16,0
104,63,556387,2015,2025,8,66666,11,1
105,53,556387,2017,2027,6,50000,11,1
106,65,556387,2014,2024,9,75000,14,1
107,47,556387,2015,2025,8,66666,11,1
108,60,556387,2017,2027,6,50000,11,1
109,38,556387,2015,2025,8,66666,11,1
110,47,556387,2017,2027,6,50000,11,1
111,43,556387,2014,2024,9,75000,16,1
112,54,556387,2015,2025,8,66666,16,1
113,43,556387,2017,2027,6,50000,11,1
114,38,556387,2017,2027,6,50000,11,1
115,68,556387,2014,2024,9,75000,13,1
116,78,556387,2015,2025,8,66666,16,1
117,30,556387,2017,2027,6,50000,9,1
118,44,556387,2015,2025,8,66666,12,1
119,59,556387,2017,2027,6,50000,11,1
120,56,556387,2014,2024,9,75000,13,1
121,70,556387,2015,2025,8,66666,11,1
122,72,556387,2017,2027,6,50000,11,1
123,30,556387,2014,2024,9,75000,13,1
124,35,556387,2015,2025,8,66666,11,1
125,41,556387,2017,2027,6,50000,11,1
126,58,556387,2015,2025,8,66666,11,1
127,43,556387,2017,2027,6,50000,16,0
128,30,556387,2014,2024,9,75000,13,1
129,38,556387,2015,2025,8,66666,11,1
130,35,556387,2017,2027,6,50000,11,1
131,63,532060,2017,2027,6,50000,11,1
132,49,531860,2014,2024,9,75000,13,1
133,81,530280,2015,2025,8,66666,12,1
134,89,530070,2017,2027,6,50000,11,1
135,62,530030,2015,2025,8,66666,11,1
136,47,525140,2017,2027,6,50000,11,1
137,50,525110,2014,2024,9,75000,14,1
138,57,525110,2015,2025,8,66666,11,1
139,81,525060,2017,2027,6,50000,11,1
140,62,525040,2014,2024,9,75000,13,1
141,31,522130,2015,2025,8,66666,11,1
142,40,522130,2017,2027,6,50000,11,1
143,42,522120,2015,2025,8,66666,12,1
144,31,522080,2017,2027,6,50000,12,1
145,39,519120,2014,2024,9,75000,11,1
146,86,517950,2015,2025,8,66666,11,1
147,44,516030,2017,2027,6,50000,11,1
148,37,511600,2021,2031,2,16666,16,0
149,43,510130,2016,2026,7,58333,9,1
150,45,510120,2015,2025,8,66666,11,1
151,63,510080,2017,2027,6,50000,12,1
152,66,510070,2014,2024,9,75000,13,1
153,62,509570,2015,2025,8,66666,11,1
154,68,508780,2017,2027,6,50000,11,1
155,65,507070,2021,2031,2,16666,11,0
156,48,504040,2016,2026,7,58333,11,1
157,52,502550,2015,2025,8,66666,11,1
158,30,502100,2017,2027,6,50000,16,0
159,69,500140,2014,2024,9,75000,13,1
160,42,500130,2015,2025,8,66666,11,1
161,49,500120,2017,2027,6,50000,11,1
162,71,500110,2015,2025,8,66666,11,1
163,35,500110,2017,2027,6,50000,11,1
164,32,500100,2014,2024,9,75000,16,1
165,52,500090,2015,2025,8,66666,12,1
166,56,500080,2017,2027,6,50000,11,1
167,38,500010,2021,2031,2,16666,11,0
168,49,556387,2016,2026,7,58333,13,1
169,49,556387,2015,2025,8,66666,11,1
170,54,556387,2017,2027,6,50000,12,1
